  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
203726,279969,465303,200445,96319
263845,272439,2192,199901,0
27726,334861,82265,199954,64958
293801,210117,275087,199934,0
297319,242569,464097,200598,141285
36012,296235,484943,199842,0
78138,308996,491647,199218,127187
61767,269747,23989,199771,0
346503,172903,41218,200827,80270
149681,205417,441224,199658,0
123720,167191,460897,200153,0
230676,294281,183927,199659,74583
136534,289911,499992,199426,91220
208694,188425,379420,199493,109404
40525,184165,86979,200729,116621
304564,207913,419935,199185,74775
111033,259445,245250,200098,0
215524,324836,406080,200396,44651
376338,160573,493157,199816,161056
0,279188,492028,199204,206326
173405,259445,360912,199843,16534
247673,161343,15,200074,274998
423913,189747,48857,200125,3060
267102,289394,178014,199612,15356
233656,284510,4262,199997,0
139937,302485,604,199522,186081
0,183896,284462,200285,21003
209672,168820,196976,200634,136528
205091,211923,33005,200369,0
58720,291019,154983,199902,0
182856,317856,405691,199882,223004
451075,157029,111560,200127,0
225888,216414,498730,199837,229993
184411,211049,96843,200161,26093
129992,342211,44907,200251,202278
0,262023,21180,200550,145869
160270,243724,18924,199940,10185
54680,260653,121537,200139,20167
352234,295267,322956,199488,0
473775,235066,483185,199882,0
228093,308200,222143,200006,157030
236081,256445,38696,199966,57217
54734,276603,156442,200308,52091
283125,309486,70667,199236,217049
78696,274460,141377,199918,185788
108269,203092,441688,200325,141838
312472,176514,177673,199949,57553
140634,261998,344570,200197,31237
300253,230337,404196,199562,0
202875,250647,476672,198840,145899
281928,190168,69213,199302,193317
100571,188947,14641,200854,0
312451,327047,139463,200107,176606
199006,187406,485445,200186,130335
316660,278631,378969,200108,61922
171945,329846,230802,200590,0
228429,242525,201,200440,0
101281,249669,390071,200080,0
96657,182245,218596,199425,248159
159109,303368,266238,200144,42877
301126,281186,16073,200311,35241
134392,226519,415301,199391,85477
248262,221159,267599,199968,0
64709,194373,382703,200262,0
103742,338280,496841,200192,98625
55148,212385,321733,200005,0
404806,284143,384223,199917,92371
103569,334418,253701,199326,0
148585,267497,390293,199353,61525
187084,281853,498665,199797,163449
271048,203494,139854,200009,130010
110562,263792,12765,199993,228211
65908,249860,28378,200110,0
232064,207106,143491,200128,209450
